on_off,x_low,x_high,y_low,y_high,z_low,z_high
on,-32,18,-49,-2,-43,3
on,-15,35,-31,16,-9,43
on,-22,23,2,47,-35,13
on,-45,8,-18,27,-34,17
on,-15,31,-41,9,-35,19
on,-28,21,0,46,-27,27
on,3,49,-29,15,-45,4
on,-41,8,-29,22,-48,-2
on,-22,27,-46,-2,-12,37
on,-19,25,-5,41,-49,0
off,-37,-28,-17,0,-12,-1
on,-14,39,-30,23,-42,9
off,0,17,-11,8,33,47
on,-14,33,-33,21,-4,40
off,-34,-15,8,21,27,46
on,-46,8,-20,25,-19,31
off,-27,-10,7,22,-8,9
on,-10,36,-36,9,-8,36
off,6,19,-22,-13,-1,17
on,-21,26,-20,34,-30,18
on,42304,55089,-41094,-9559,-60602,-44103
on,-12654,23439,-83963,-75173,-37505,-9707
on,-20072,8304,72918,97850,-2675,16034
on,-37986,-31048,-72328,-68972,-39387,-14025
on,27419,32687,-76993,-55706,-21308,-3237
on,34432,37132,-60344,-43624,-67083,-45697
on,72302,73558,30119,43166,-1064,18581
on,-84484,-55892,33693,47267,11712,34474
on,-45658,-17069,70960,75993,-26483,-5829
on,61376,87685,4257,22831,35253,41855
on,3756,13562,-73892,-55475,32643,41653
on,12722,33585,-65584,-45968,53199,66161
on,-7455,2480,-33544,-4829,-93477,-76852
on,-27465,-19542,-69335,-49389,-72381,-53443
on,-40948,-21776,-44540,-28432,44396,70893
on,-57672,-32684,44519,58887,-40153,-35064
on,-46459,-23626,-73688,-55808,26012,46097
on,2039,25740,62438,75663,29312,47419
on,42026,52785,29466,32527,56876,60652
on,-43347,-36821,-56451,-47624,-57964,-34225
on,-54118,-47847,43457,79664,-24463,-2116
on,-11663,13554,11098,19096,-92264,-61722
on,45120,70705,-37305,-24246,35939,54051
on,-87008,-60366,-38875,-13453,-27795,-8059
on,28857,56676,46055,58209,-57163,-35870
on,37827,56893,51725,73853,12839,35289
on,-9554,-4174,-39960,-12261,-88665,-55895
on,10231,37253,51552,73709,15543,34468
on,-91453,-55431,-30966,-22590,912,6078
on,-15548,13706,85,13671,-89870,-69011
on,9096,37520,52365,74516,-35737,-16011
on,30879,55363,-83165,-56981,-27215,-15734
on,-13689,3798,-4094,14863,-90175,-60055
on,28959,50465,-72289,-60519,2098,27015
on,33972,38764,17655,43968,-69191,-62222
on,58793,77510,25017,44081,7734,27275
on,72280,93643,-28811,-17914,-31668,1633
on,-9578,-1180,-81603,-51234,-51968,-26090
on,-5887,19193,-33987,-11738,-89378,-58867
on,-81085,-49986,-48821,-37243,6616,31373
on,-16578,-5194,62042,92781,-12438,5855
on,-77736,-60862,-62708,-42206,-27972,-11616
on,-16816,12403,7100,23330,71861,82834
on,-27155,-11286,-81042,-71520,-17468,16908
on,-6281,-3063,-96146,-78012,-24792,-8886
on,63256,80947,-46184,-22853,-30506,-21756
on,-33867,-4610,8940,35588,-77803,-65303
on,-48659,-26899,-79830,-50086,-28452,-21210
on,-67126,-37734,15571,38429,-60022,-40717
on,49822,65596,-69599,-44970,-17742,5303
on,-25557,-15092,-36362,-8715,55262,83505
on,-13842,13150,-66895,-59718,-46296,-28479
on,39552,50946,-60150,-50799,27846,40741
on,-76863,-73896,-30384,-21568,-28939,-4857
on,52364,80542,36135,63656,2879,31637
on,19737,24560,58599,89313,-13963,7462
on,1881,18467,-77595,-52677,-41525,-26174
on,13573,25588,-67264,-33890,38048,65254
on,-39113,-16350,-74024,-50805,-56167,-41568
on,20706,21472,-74844,-62477,19834,36560
on,7333,11704,59476,74631,32828,50220
on,-60717,-47682,-38093,-32890,-54134,-40056
on,-34489,-5144,-62650,-32714,57892,71295
on,14172,36635,58909,62581,30992,59293
on,11691,28559,32866,55793,-78635,-45424
on,1923,32535,-60993,-46317,-73461,-56588
on,28005,34144,-78202,-51610,15823,37302
on,-10225,10584,30186,55174,53518,82290
on,-86523,-68467,10375,25060,-36484,-9740
on,-78284,-54484,-37370,-23941,7654,40188
on,69237,86982,-48693,-12581,15120,24404
on,29721,51779,-49913,-25284,46924,66255
on,59122,77342,-32839,-2216,-32457,-21167
on,-63410,-36877,50178,80121,-12457,13355
on,-61181,-44025,39446,41629,-67777,-37157
on,-17463,-4589,-69690,-42187,46474,56481
on,-70083,-44114,-56568,-34697,1883,25865
on,67007,78152,4382,31754,-31262,-10189
on,63184,85695,2681,22406,39577,57174
on,-36960,-20822,-35234,-19666,-73178,-54135
on,2446,29286,49673,61217,-53821,-38922
on,-8735,23469,66198,86751,-40443,-16261
on,-23390,8498,-82256,-58734,39769,57391
on,5945,25175,5269,22982,69388,81189
on,-9771,18524,72842,95260,-5021,4012
on,-51772,-37919,47043,81317,-5846,27300
on,48798,83119,-55523,-25947,4394,21059
on,55572,69032,-48002,-36964,-17342,647
on,-44829,-32932,-35651,-5696,-79658,-55963
on,18013,54374,-43967,-21760,-79107,-41054
on,32956,50515,30994,64621,-70686,-45249
on,-62545,-57181,10019,41591,46282,55593
on,62433,74009,-63816,-43553,-13196,6782
on,-77529,-50144,-51801,-46582,9282,19544
on,74707,87068,-315,24269,-4162,26292
on,-15915,3844,-57696,-40910,-71880,-56737
on,-35145,-15677,55481,69189,-53756,-26195
on,27612,59656,-44138,-33003,-74654,-54477
on,21448,55471,34490,47828,47696,56709
on,41704,56657,23782,40528,44697,63217
on,-85720,-67864,-39939,-25579,-15577,9385
on,46933,73934,-31669,3205,44351,70242
on,45925,66561,16674,53838,-46157,-18206
on,51620,60247,49303,66958,-24432,6032
on,-48876,-31090,22495,27171,47508,60551
on,65332,80186,34369,53315,13570,22869
on,36655,43547,-44546,-24231,46740,74946
on,-72450,-56083,-60041,-25505,-19975,-15665
on,-61366,-56495,-51815,-26578,20190,43247
on,36568,57312,21633,35170,51997,73893
on,-29809,-13792,44599,72717,47279,58862
on,70457,92215,-13055,2261,-51495,-23606
on,64520,75700,31668,52783,-35833,-16393
on,-79154,-48196,7306,25933,19097,39926
on,-35979,-7949,62778,81828,-14819,-2007
on,54082,71925,33885,67821,-4364,13030
on,-14415,292,-80213,-68128,-31982,3687
on,25094,37955,-34515,-8916,-78570,-65936
on,16964,41320,-75911,-45804,24736,60734
on,57790,78224,10389,46556,-31413,-4011
on,-88218,-63584,23146,52634,-3029,22706
on,-59572,-43445,-53148,-33646,28672,35821
on,-45847,-36583,-64682,-45313,-32778,-17602
on,-34666,-1274,30725,44478,-82745,-59950
on,-81560,-67485,1090,19801,-25054,3247
on,-34498,-17519,-46498,-24905,66538,86926
on,-40711,-12670,59177,81629,-20953,-3080
on,-52566,-27006,48458,58323,-61744,-33722
on,-70433,-51727,-21808,3931,-53940,-27362
on,-22040,808,-12495,20336,59303,86197
on,15085,37779,55395,61349,35001,50038
on,1875,20738,-7370,28101,62950,79820
on,-14585,8590,-49500,-38477,-72037,-50675
on,56170,75701,35508,53150,9606,10470
on,19658,42362,-87434,-52638,8513,41814
on,-72910,-44051,-59272,-23349,17582,37950
on,-91395,-58090,-2433,4676,-34398,-15674
on,38721,58292,-45133,-17672,48163,74318
on,-63099,-49000,33833,70870,-3394,29425
on,-820,16141,19204,46366,67848,82849
on,-72889,-57214,-16573,6418,-64277,-32447
on,29667,62403,-41822,-35500,-60234,-42797
on,39041,63217,30506,32516,31781,59890
on,16090,29597,54548,58089,-63438,-34377
on,41019,44118,46061,59676,32605,49929
on,25061,43373,63771,78604,-40511,-32758
on,65442,89280,-10502,24122,-31111,2880
on,27957,61563,-80172,-45013,-36020,-6710
on,-4878,2893,59921,73950,24621,49477
on,-70176,-51959,-45031,-28231,-53729,-26400
on,20493,46189,-85181,-58121,-21576,14051
on,40842,45463,-5271,32039,62602,68475
on,-88477,-67772,6567,26829,-8759,13692
on,28031,41232,17605,42138,65019,76475
on,66917,86588,-50850,-28370,-4681,-2128
on,1607,25353,64035,72095,-45358,-28810
on,18539,36406,-61309,-46355,-68838,-34305
on,-90384,-70799,7749,13553,-32613,-16550
on,-59205,-34437,27946,44947,-65845,-59431
on,35627,45927,64488,82022,2763,34103
on,-13982,18701,-21750,-3428,71578,87068
on,-38787,-10302,-90330,-60240,-19740,4802
on,-79165,-61017,2066,17940,-60736,-36241
on,5899,32323,-26476,2032,64594,79613
on,-79477,-63147,-35976,-10802,27872,43869
on,53,6514,-68382,-51125,-66473,-44020
on,-2020,18149,-28710,-23158,-78532,-72395
on,22142,54451,-7608,-1572,60510,89315
on,67145,70368,-38973,-31922,-35643,-10469
